Cum GPA,TEAS Count,MaxOfTestScore,failing grade count,Time to Test (days),Completion Time (days),PrecEducDesc,Grade,GradePass,HighSchool,Assoc,Bach,Masters
3.08,1.0,75.3,0,297.34,466.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.36,1.0,78.0,0,76.56,592.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.59,2.0,74.0,1,227.58,592.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.0,1.0,74.0,0,54.35,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.21,1.0,70.0,0,87.31,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.31,2.0,72.0,0,80.0,586.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.12,1.0,70.0,0,104.32,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.0,1.0,84.0,1,96.0,592.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.57,1.0,72.0,0,61.48,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.86,2.0,66.7,0,325.0,592.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.12,1.0,78.0,0,87.33,592.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.62,2.0,73.3,1,108.0,592.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.24,2.0,66.7,0,165.35,465.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
4.0,1.0,69.3,0,42.34,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.14,1.0,80.7,0,82.57,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.78,1.0,90.0,0,80.57,466.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
3.0,1.0,72.0,0,68.32,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.5,1.0,88.0,0,49.58,578.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.4,1.0,79.3,0,42.31,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.19,1.0,72.7,0,116.53,592.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.55,2.0,71.3,0,74.0,591.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.79,1.0,80.7,0,126.54,466.0,Bachelors,Fail,0.0,0.0,0.0,1.0,0.0
2.72,1.0,68.0,1,230.32,591.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.21,1.0,69.3,0,61.34,466.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
2.86,1.0,73.3,0,417.08,704.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.95,2.0,68.0,0,52.32,466.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.43,1.0,80.7,0,33.32,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.03,1.0,80.7,0,54.58,466.0,Masters,Fail,0.0,0.0,0.0,0.0,1.0
3.6,2.0,75.3,0,71.65,591.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.16,1.0,82.7,0,41.34,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.15,3.0,90.0,0,117.49,578.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.78,1.0,78.0,0,186.58,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.9,2.0,86.0,2,109.51,838.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.78,1.0,86.7,0,49.59,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.43,1.0,74.0,0,39.56,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.93,2.0,72.0,0,150.35,465.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.07,1.0,72.0,0,182.55,465.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.22,1.0,74.0,0,46.34,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.69,1.0,85.3,0,48.56,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.41,4.0,70.0,1,237.52,704.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
2.78,2.0,65.3,2,124.6,704.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.05,1.0,80.0,0,56.57,592.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.09,1.0,78.0,0,49.33,466.0,Bachelors,Fail,0.0,0.0,0.0,1.0,0.0
2.66,2.0,67.3,0,486.0,466.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
2.86,1.0,68.0,1,187.35,704.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
2.86,1.0,87.3,1,279.51,592.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.55,2.0,70.7,0,61.58,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.21,1.0,80.7,0,39.58,466.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
3.22,1.0,74.7,0,81.51,465.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.03,1.0,68.0,0,78.49,465.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.79,3.0,74.7,2,805.0,592.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.45,1.0,76.0,1,75.59,704.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.33,1.0,71.3,0,109.33,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.59,1.0,77.3,1,403.0,592.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.36,1.0,80.7,0,61.56,578.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.64,5.0,68.0,0,45.07,472.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.16,1.0,69.3,0,45.07,472.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
2.78,2.0,69.3,0,88.32,466.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
2.84,1.0,70.0,0,87.35,578.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.31,1.0,79.3,0,39.33,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.76,2.0,68.0,1,368.0,592.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.64,1.0,79.3,0,53.34,465.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.95,2.0,70.0,1,73.34,591.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.22,1.0,76.7,0,53.0,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.88,1.0,93.3,0,81.0,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.58,1.0,84.7,0,144.34,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.71,1.0,68.7,0,97.33,592.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.43,1.0,78.7,0,57.56,465.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.43,2.0,66.7,0,101.51,578.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.83,1.0,79.3,0,49.32,465.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.79,2.0,70.0,0,88.0,591.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.19,1.0,84.0,0,49.33,466.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
2.76,2.0,66.7,0,175.33,465.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.1,2.0,72.0,0,55.33,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.15,2.0,76.0,1,81.0,830.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.71,1.0,70.0,0,178.0,467.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
