ID,Cum GPA,TEAS Count,MaxOfTestScore,PrecEducDesc,failing grade count,DateStart,GradDate,Test Delivery Date,Time to Test (days),Completion Time (days),Grade,Qtr,Year
1178,3.47,1,82.7,High School/GED/Some College,0,9/10/2018,4/25/2020,7/30/2020,96.00,593.00,Pass,2020-3,2020
1179,3.34,4,66,High School/GED/Some College,0,9/10/2018,12/21/2019,3/13/2020,83.33,467.00,Pass,2020-1,2020
1180,3.41,1,70,High School/GED/Some College,0,1/7/2019,4/25/2020,7/14/2020,80.00,474.00,Pass,2020-3,2020
1181,3.1,1,82,High School/GED/Some College,0,1/7/2019,4/25/2020,7/16/2020,82.00,474.00,Pass,2020-3,2020
1182,2.93,,,High School/GED/Some College,0,9/10/2018,12/21/2019,3/10/2020,80.00,467.00,Pass,2020-1,2020
1183,3.41,1,86,High School/GED/Some College,0,1/7/2019,8/29/2020,9/26/2020,28.00,600.00,Pass,2020-3,2020
1184,2.59,1,80,Associates,0,1/7/2019,8/29/2020,12/22/2020,115.00,600.00,Fail,2020-4,2020
1185,3.83,1,79.3,High School/GED/Some College,0,9/10/2018,4/25/2020,7/28/2020,94.00,593.00,Pass,2020-3,2020
1186,3.43,1,95.3,High School/GED/Some College,0,9/10/2018,12/21/2019,2/4/2020,45.00,467.00,Pass,2020-1,2020
1187,3.83,,,High School/GED/Some College,0,9/10/2018,4/25/2020,8/5/2020,102.00,593.00,Pass,2020-3,2020
1188,2.81,1,72,High School/GED/Some College,0,9/10/2018,4/25/2020,10/20/2020,178.00,593.00,Fail,2020-4,2020
1189,2.5,1,68.7,High School/GED/Some College,0,9/10/2018,8/29/2020,10/20/2020,52.00,719.00,Fail,2020-4,2020
1190,2.95,1,77.3,High School/GED/Some College,0,9/10/2018,12/21/2019,3/16/2020,86.00,467.00,Pass,2020-1,2020
1191,3.14,1,85.3,High School/GED/Some College,0,9/10/2018,12/21/2019,6/26/2020,188.00,467.00,Fail,2020-2,2020
1192,3.09,1,72.7,High School/GED/Some College,0,5/6/2019,8/29/2020,12/22/2020,115.00,481.00,Pass,2020-4,2020
1193,3.37,1,78,High School/GED/Some College,0,9/10/2018,12/21/2019,2/12/2020,53.31,467.00,Pass,2020-1,2020
1194,3.6,1,94.7,High School/GED/Some College,0,9/10/2018,12/21/2019,2/13/2020,54.08,467.00,Pass,2020-1,2020
1195,3.14,3,80,High School/GED/Some College,0,1/7/2019,4/25/2020,7/31/2020,97.00,474.00,Pass,2020-3,2020
1196,2.95,1,76,High School/GED/Some College,0,9/10/2018,12/21/2019,2/18/2020,59.00,467.00,Pass,2020-1,2020
1197,3.72,1,86.7,High School/GED/Some College,0,9/10/2018,4/25/2020,6/5/2020,41.00,593.00,Pass,2020-2,2020
1198,2.74,1,78.7,Associates,0,9/10/2018,12/21/2019,2/19/2020,60.00,467.00,Pass,2020-1,2020
1199,3.47,1,81.3,High School/GED/Some College,0,9/10/2018,12/21/2019,2/13/2020,54.00,467.00,Pass,2020-1,2020
1200,3.52,1,78.7,High School/GED/Some College,0,1/7/2019,4/25/2020,6/5/2020,41.00,474.00,Pass,2020-2,2020
1201,3.38,1,78.7,High School/GED/Some College,0,1/7/2019,4/25/2020,8/10/2020,107.00,474.00,Pass,2020-3,2020
1202,3.37,2,69.3,High School/GED/Some College,0,1/7/2019,4/25/2020,6/10/2020,46.58,474.00,Pass,2020-2,2020
1203,3.36,2,70,High School/GED/Some College,0,9/10/2018,8/29/2020,11/19/2020,82.00,719.00,Pass,2020-4,2020
1204,3.4,1,84,High School/GED/Some College,0,9/10/2018,4/25/2020,7/17/2020,83.00,593.00,Pass,2020-3,2020
1205,3.57,1,72,High School/GED/Some College,0,1/7/2019,4/25/2020,8/1/2020,98.00,474.00,Pass,2020-3,2020
1206,3.91,2,78,High School/GED/Some College,0,9/10/2018,4/25/2020,7/11/2020,77.00,593.00,Pass,2020-3,2020
1207,2.93,1,70.7,High School/GED/Some College,0,9/10/2018,12/21/2019,2/13/2020,54.00,467.00,Pass,2020-1,2020
1208,2.88,1,65.3,High School/GED/Some College,0,9/10/2018,12/21/2019,2/20/2020,61.00,467.00,Pass,2020-1,2020
